vin,lat,lng,currentElectricity,averageEnergyConsumption,chargeStatus,bcuSOH
LS6A2E0E5KA001030,32.0813,118.7551,63,806092.8,3,100
LS6A2E0E7KA001093,0,0,77,832307.2,3,100
LS6A2E0E7KA002924,31.95099,118.80257,66,871628.8,3,100
LS5A2DJX0KA001161,32.10724,118.83732,49,904396.8,3,98.4
LS5A2DJX5KA001060,32.1269,118.92643,92,871628.8,3,95.6
LS5A2DJX4KA001289,32.05353,118.91814,88,917504,3,100
LS5A2DJX7KA002520,29.51762,106.64822,58,950272,1,99.1
LS6A2E0E6KA009105,38.40684,112.76181,63,930611.2,3,100
LS6A2E0E5KA001352,32.0269,118.81859,94,812646.44,3,100
LS6A2E0E1KA001445,31.92682,118.92812,86,878182.44,3,100
LS6A2E0E0KA007379,29.64583,106.55997,77,1009254.44,3,100
LS6A2E0E5KA011198,29.74957,106.63828,67,832307.2,3,100
LS5A2DJX7KA002176,32.0689,118.61999,93,806092.8,3,100
LS6A2E0E2KA001115,32.0445,118.77134,76,989593.6,3,100
LS6A2E0E2KA002622,32.03132,118.84317,91,950272,3,100
LS6A2E0E9KA002410,31.91154,118.88778,84,924057.6,3,100
LS6A2E0E5KA002971,32.17569,118.6937,56,950272,3,100
LS5A2DJXXKA002818,31.96467,118.68112,44,806092.8,3,99.6
LS6A2E0E9KA009261,30.32221,120.31417,58,924057.6,3,100
LS6A2E0E8KA002818,32.03839,118.74774,98,1042022.44,3,100
LS6A2E0E2KA001261,32.23253,118.75764,50,1002700.8,3,100
LS5A2DJX7KA001187,32.07086,118.7789,86,1074790.4,3,100
LS6A2E0E1KA011196,29.76348,106.65724,66,845414.44,3,100
LS5A2DJX2KA001114,31.99427,118.79053,35,1068236.9,3,99.6
LS5A2AJX0KA003460,35.03356,111.00118,70,838860.8,3,100
LS6A2E0E4KA002959,0,0,98,943718.44,3,100
LS5A2AJX6KA003558,37.89957,112.58384,46,1074790.4,3,99.1
LS6A2E0E8KA001166,32.13332,118.86265,87,924057.6,3,100
LS6A2E0E5KA001643,31.82497,118.83195,64,884736,3,100
LS6A2E0E2KA002393,32.15418,118.70326,62,1028915.2,3,100
LS5A2AJX6KA002877,40.09479,113.30814,100,1002700.8,3,99.3
LS6A2E0E0KA002358,32.06552,118.6224,80,806092.8,3,100
LS6A2E0E1KA001364,31.92508,118.86261,91,851968,3,100
LS6A2E0EXKA003212,32.04108,118.79919,76,806092.8,3,100
LS6A2E0E4KA000953,31.9133,118.83391,98,825753.6,3,100
LS6A2E0E8KA010983,29.74958,106.63828,68,838860.8,3,100
LS5A2DJX2KA002344,29.55971,106.4424,23,832307.2,1,99.6
LS6A2E0E6KA009251,30.30084,120.20326,65,1015808,3,100
LS6A2E0E7KA002793,32.04905,118.75988,89,845414.44,3,100
LS6A2E0E7KA001983,31.89821,118.78345,58,845414.44,1,100
LS6A2E0E9KA001175,31.9252,118.86264,76,989593.6,3,100
LS5A2DJX5KA002189,32.10748,118.92257,87,956825.6,3,99.200005
LS6A2E0E0KA009939,30.37029,120.17636,37,989593.6,3,100
LS5A2DJX5KA002516,32.09158,118.82688,97,910950.44,3,100
LS6A2E0E0KA001615,0,0,81,983040,3,100
LS5A2AJX7KA004203,35.09616,111.01969,71,943718.44,3,99.200005
LS6A2E0E6KA002445,32.04127,118.73919,88,897843.2,3,100
LS6A2E0E3KA002502,32.11576,118.78134,93,904396.8,1,100
LS6A2E0E0KA001517,32.11787,118.86212,100,963379.2,4,100
LS5A2DJX9KA002406,32.02189,118.81452,92,871628.8,3,100
LS6A2E0E4KA000922,32.16624,118.71312,96,806092.8,3,100
LS5A2DJX4KA002197,32.08036,118.94149,60,845414.44,1,91.200005
LS6A2E0E7KA001000,32.03478,118.7971,96,1186201.6,3,100
LS5A2DJX9KA003054,32.05224,118.76503,84,996147.2,3,100
LS5A2DJX4KA002880,32.00842,118.80621,98,969932.8,3,100
LS6A2E0E9KA001225,32.03752,118.71719,78,1002700.8,3,100
LS6A2E0E9KA007526,29.57871,106.5102,70,832307.2,3,100
LS6A2E0E8KA002351,31.98737,118.72534,96,806092.8,3,100
LS6A2E0E9KA002665,32.09706,118.87096,91,806092.8,3,100
LS6A2E0E5KA002503,32.17612,118.70028,75,1068236.9,3,100
LS6A2E0E5KA001688,31.96257,118.74985,81,1022361.6,3,100
LS6A2E0E6KA002557,32.11257,118.95976,79,884736,3,100
LS6A2E0E5KA007555,29.51085,106.65172,98,1015808,3,100
LS6A2E0E6KA002350,0,0,93,1015808,3,99.8
LS6A2E0E2KA009960,30.37013,120.17673,48,1028915.2,3,100
LS6A2E0EXKA001671,32.24509,118.75084,82,884736,3,100
LS6A2E0E7KA002048,32.10139,118.75274,78,806092.8,3,100
LS6A2E0E1KA007276,29.66977,106.55846,95,871628.8,3,100
LS6A2E0E9KA001001,32.24058,118.7692,91,865075.2,3,100
LS5A2DJX7KA002596,32.02425,118.82442,86,806092.8,1,100
LS5A2DJX3KA002126,32.04768,118.80874,82,897843.2,3,99.3
LS6A2E0E6KA002560,32.13141,118.86293,98,989593.6,1,100
LS6A2E0E3KA009031,29.86526,121.53864,41,1114112,3,100
LS6A2E0E5KA001013,31.95718,118.86297,73,871628.8,3,100
LS5A2DJX6KA004601,29.55487,106.50352,91,865075.2,3,100
LS6A2E0E6KA009847,30.37021,120.17667,48,1015808,3,100
LS6A2E0E0KA003042,32.07837,118.80094,82,1028915.2,3,100
LS5A2DJXXKA002589,32.0855,118.77474,65,950272,1,100
LS6A2E0E6KA009072,29.84696,121.5637,94,1101004.9,3,100
LS6A2E0E1KA009433,30.25664,120.02906,36,924057.6,3,100
LS6A2E0E0KA008919,28.98257,119.84593,89,884736,3,100
LS5A2DJXXKA002673,32.12393,118.87207,93,884736,1,99.9
LS6A2E0E7KA002003,32.09224,118.77546,62,806092.8,3,100
LS6A2E0E1KA001221,32.09669,118.81264,23,1035468.8,3,100
LS6A2E0E1KA002093,31.97847,118.71083,64,897843.2,3,99.9
LS6A2E0E5KA001495,32.06204,118.76158,44,1028915.2,3,100
LS5A2AJX8KA003643,31.25712,111.24432,20,1225523.2,1,100
LS5A2DJX8KA002459,32.12216,118.98534,89,819200,3,98.6
LS5A2AJX5KA007732,28.6475,121.42729,89,930611.2,3,100
LS6A2E0E5KA002890,32.11577,118.78138,75,1048576,1,100
LS6A2E0E6KA002560,32.13142,118.86292,100,989593.6,4,100
LS5A2AJX6KA002880,40.08753,113.27876,46,884736,3,97.6
LS6A2E0E8KA001491,31.92766,118.9097,98,930611.2,1,100
LS5A2DJX3KA001185,32.01555,118.7852,72,1087897.6,3,100
LS6A2E0E9KA003055,31.99917,118.75378,86,937164.8,3,100
LS5A2DJX4KA002572,29.68984,106.60053,57,1068236.9,3,92.700005
LS6A2E0E2KA011000,29.74971,106.63793,65,871628.8,3,100
LS5A2DJX7KA003148,32.24397,118.7742,69,878182.44,3,98.9
LS5A2DJXXKA002589,32.08548,118.77476,80,950272,1,100
LS5A2DJXXKA002169,32.13385,118.86563,100,1015808,3,99.3
LS5A2DJX7KA005286,29.54846,106.54763,92,1068236.9,3,100
LS6A2E0EXKA002464,32.04332,118.78956,70,825753.6,3,100
LS5A2DJX0KA002486,32.02857,118.70958,95,806092.8,1,100
LS5A2DJX2KA002750,0,0,45,1002700.8,3,100
LS6A2E0EXKA002786,0,0,85,910950.44,3,100
LS5A2DJX4KA001227,31.99941,118.78116,72,871628.8,1,100
